id,report_date,city,state,report_narrative,timestamp,latitude,longitude,altitude,uncertainty
2293,2023-06-01,New york,New york,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): new york, ny / unmanned aircraft systems (UAS) sighting/late report 5-31 1548e/new york terminal radar approach control (TRACON) advised, bcs3, toronto, canada (CYYZ)-lga, reported black unmanned aircraft systems (UAS) 200 feet above aircraft (ACFT) while ssw bound at 4,000 feet 7 W lga.No evasive action reported.Nypd aviation unit notified.",2023-05-31T15:48:00Z,40.7789,-73.8739,4000,medium
2294,2023-06-01,Bloomington,Indiana,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): bloomington, in / unmanned aircraft systems (UAS) sighting/1228e/hulman airport traffic control tower (ATCT) advised, piper p32r, reported a unmanned aircraft systems (UAS) 300 feet below aircraft (ACFT) from the 11 of the clock position while northwest (NW) bound at 8,000 feet 16 wnw hoosier vor collocated with tacan (VORTAC) (OOM).No evasive action taken.Indiana state pd notified.",2023-06-01T00:00:00Z,39.1667,-86.5333,7700,medium
2295,2023-06-01,Medina,Ohio,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): medina, oh / unmanned aircraft systems (UAS) sighting/1243e/cleveland terminal radar approach control facility (TRACON) advised, rockwell ac11, reported a silver unmanned aircraft systems (UAS) from the 12 of the clock position while ese bound at 3,000 feet 5 ese medina (1g5).No evasive action taken.Fbi notified.",2023-06-01T00:00:00Z,41.1375,-81.8525,3000,medium
2296,2023-06-01,Chicago/waukegan,Illinois,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): chicago / waukegan, il / unmanned aircraft systems (UAS) sighting/1308c/chicago artcc advised, crj2, ord-msp, reported a white quadcopter unmanned aircraft systems (UAS) from the 3 of the clock position while N bound at 13,000 feet over ugn airport (ARPT).No evasive action taken.Waukegan pd notified.",2023-06-01T00:00:00Z,42.3636,-87.8681,13000,low
2297,2023-06-01,Morristown,New jersey,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): morristown, nj / unmanned aircraft systems (UAS) sighting/1626e/morristown airport traffic control tower (ATCT) advised, gulfstream glf5, fty-mmu, reported a black unmanned aircraft systems (UAS) while nne bound at 3,000 feet 4 northwest (NW) mmu.No evasive action taken.New jersey state pd notified.",2023-06-01T00:00:00Z,40.7977,-74.4965,3000,medium
2298,2023-06-01,Las vegas,Nevada,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): las vegas, nv / unmanned aircraft systems (UAS) sighting/1330p/north las vegas airport traffic control tower (ATCT) advised, cirrus sf50, vgt-myf, reported a white unmanned aircraft systems (UAS) while wsw bound at 4,000 feet 8 northwest (NW) las.No evasive action taken. Las vegas metropolitan (METRO) pd notified.",2023-06-01T13:30:00Z,36.2032,-115.1964,4000,medium
2299,2023-06-01,Raleigh/durham,North carolina,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): raleigh-durham, nc / unmanned aircraft systems (UAS) sighting/1800e/raleigh-durham airport traffic control tower (ATCT) advised, beech be58, rdu-rdu, reported a white unmanned aircraft systems (UAS) 500 feet below aircraft (ACFT) while se bound at 2,000 feet 6 northwest (NW) rdu.No evasive action taken.Durham pd notified.",2023-06-01T00:00:00Z,35.8773,-78.7779,1500,medium
2300,2023-06-01,Bridgeport,Connecticut,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): bridgeport, ct / unmanned aircraft systems (UAS) sighting/1739e/bridgeport airport traffic control tower (ATCT) advised, agusta uh1, reported a unmanned aircraft systems (UAS) at the 9 of the clock position while W bound at 2,000 feet 4 W bdr.No evasive action taken.Bridgeport pd notified.",2023-06-01T00:00:00Z,41.1667,-73.1167,2000,medium
2301,2023-06-01,New york,New york,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): new york, ny / unmanned aircraft systems (UAS) sighting/1845e/new york terminal radar approach control facility (TRACON) advised, beechcraft be36, reported a unmanned aircraft systems (UAS) at 1,500 feet 7 N lga.No evasive action reported. Pilot reported unmanned aircraft systems (UAS) was near van cortlandt park.Nypd aviation unit notified.",2023-06-01T00:00:00Z,40.8803,-73.8867,1500,medium
2302,2023-06-01,Salt lake city,Utah,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): salt lake city, ut / unmanned aircraft systems (UAS) sighting/2224m/salt lake city airport traffic control tower (ATCT) advised, e75l, sea-slc, reported possible unmanned aircraft systems (UAS) with red and green lights at same altitude from the 9 of the clock position while sse bound at 7,500 feet 1 nnw slc.No evasive action reported. Slc airport (ARPT) operations (OPS) notified.",2023-06-01T00:00:00Z,40.7883,-111.9791,7500,medium
2303,2023-06-02,Boise,Idaho,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): boise, identification (ID) / unmanned aircraft systems (UAS) sighting/1110m/boise airport traffic control tower (ATCT) advised, aviat husk, reported an older model dji unmanned aircraft systems (UAS) at the 9 of the clock position while E bound at 4,000 feet 2 sse boi.No evasive action taken.Boise pd notified.",2023-06-02T00:00:00Z,43.5667,-116.2228,4000,medium
2304,2023-06-02,Westfield/springfield,Massachusetts,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): westfield / springfield, ma / unmanned aircraft systems (UAS) sighting/1345e/barnes fct advised, piper p28a, reported a unmanned aircraft systems (UAS) at 1,000 feet 1 no earlier (NE) baf.No evasive action taken.Leo notification not reported.",2023-06-02T00:00:00Z,42.1014,-72.5894,1000,medium
2305,2023-06-02,San jose,California,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): san jose, ca / unmanned aircraft systems (UAS) sighting/1303p/norcal terminal radar approach control (TRACON) advised, b737, san-sjc, reported a possible unmanned aircraft systems (UAS) while nnw bound at 1,700 feet vcnty sjc.No evasive action taken.Leo was not notified.",2023-06-02T13:03:00Z,37.3639,-121.9289,1700,medium
2306,2023-06-02,Fort lauderdale,Florida,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): fort lauderdale, flight level (FL) / unmanned aircraft systems (UAS) sighting/1826e/fort lauderdale executive airport traffic control tower (ATCT) advised, cessna c550, trl-fxe, reported a small white unmanned aircraft systems (UAS) from the right side at 500 feet on 0.5 mile final runway 9 fxe.No evasive action reported.Broward county sheriff notified.",2023-06-02T00:00:00Z,26.1928,-80.1228,500,low
2307,2023-06-02,Atlanta,Georgia,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): atlanta, general aviation (GA) / unmanned aircraft systems (UAS) sighting/2118e/atl airport traffic control tower (ATCT) advised, helo, reported a unmanned aircraft systems (UAS) 50 below aircraft (ACFT) while ssw bound at 2,000 feet 4 sw atl.No evasive action reported.Fulton county police notified.",2023-06-02T00:00:00Z,33.6407,-84.4277,2000,medium
2308,2023-06-03,Philadelphia,Pennsylvania,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): philadelphia, public address (PA) / unmanned aircraft systems (UAS) sighting/1145e/northeast philadelphia airport traffic control tower (ATCT) advised, piper p28a, reported a unmanned aircraft systems (UAS) from the 6 of the clock position while N bound holding short runway (RWY) 6 at taxiway (TWY) e1.Airport security notified.No impact to operations.",2023-06-03T00:00:00Z,40.0833,-75.0167,100,medium
2309,2023-06-03,Aiken,South carolina,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): aiken, sc / unmanned aircraft systems (UAS) sighting/1205e/jacksonville air route traffic control center (ARTCC) advised, piper pay2, sav-avl, reported a black unmanned aircraft systems (UAS) while wnw bound at 16,000 feet 7 sw aik.No evasive action reported.Leo notification not reported.",2023-06-03T00:00:00Z,33.5651,-81.7183,16000,medium
2310,2023-06-03,Memphis,Tennessee,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): memphis, tn / unmanned aircraft systems (UAS) sighting/1200c/memphis terminal radar approach control (TRACON) advised, b737, mem-mdw, reported a unmanned aircraft systems (UAS) from the 12 of the clock position while nne bound at 5,000 feet 8 nne mem.No evasive action taken.Shelby county sheriff notified.",2023-06-03T00:00:00Z,35.1496,-89.9678,5000,medium
2311,2023-06-03,Camarillo,California,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): camarillo, conflict alert (CA) / unmanned aircraft systems (UAS) sighting/1225p/camarillo airport traffic control tower (ATCT) advised, experimental vans rv8, cma-cma, reported unmanned aircraft systems (UAS) from the 9 of the clock position while E bound at 900 feet 2 nne cma.No evasive action reported.Vtu sheriff notified.",2023-06-03T12:25:00Z,34.2167,-119.0833,900,medium
2312,2023-06-03,Salem,Oregon,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): salem, or / unmanned aircraft systems (UAS) sighting/1315p/mcnary field fct advised, experimental vans rv10, olm-sle, reported a small grey unmanned aircraft systems (UAS) from the 9 of the clock position while sse bound at 1,200 feet vcnty sle.No evasive action reported.Marion county sheriff notified.",2023-06-03T13:15:00Z,44.9086,-123.0036,1200,medium
2313,2023-06-03,Santa rosa,California,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): santa rosa, ca / unmanned aircraft systems (UAS) sighting/1400p/santa rosa airport traffic control tower (ATCT) advised, eurocopter ec35, reported a gold unmanned aircraft systems (UAS) from the 4 of the clock position while wnw bound at 1,000 feet 6 ese sts.No evasive action reported.Leo notified.",2023-06-03T14:00:00Z,38.5078,-122.8131,1000,low
2314,2023-06-03,Newark,New jersey,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): newark, nj / unmanned aircraft systems (UAS) sighting/1905e/newark airport traffic control tower (ATCT) advised, b738, vieux fort quarter, saint lucia (TLPL)-ewr, reported a white unmanned aircraft systems (UAS) at 2,600 feet on final runway 4r ewr.No evasive action reported.Port authority pd notified.",2023-06-03T00:00:00Z,40.6895,-74.1745,2600,low
